Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
Germany,Sweet potatoes,2000,992.42,53.58,19.87,150081.8
Indonesia,Wheat,1995,1650.53,24.59,30.31,21740.2
Mexico,Sweet potatoes,1996,2633.96,12.24,14.84,55356.5
United States,Sweet potatoes,2017,1305.21,13.55,30.55,108715.2
Mexico,Potatoes,1994,2239.0,19.88,37.01,35128.2
Mexico,Rice,2018,1239.1,8.39,35.79,33358.3
Australia,Maize,2009,2834.93,12.99,19.29,20298.9
France,Yams,2022,271.47,50.88,33.73,41089.9
Australia,Potatoes,2004,479.08,14.73,13.62,185750.2
India,Sorghum,2010,2818.81,26.11,31.39,4799.0
Indonesia,Cassava,1993,903.3,27.0,32.08,70282.3
Germany,Sweet potatoes,2023,1531.47,23.07,37.85,63511.9
Germany,Wheat,2008,1622.6,125.58,13.12,27662.4
Brazil,Yams,2016,2262.34,34.53,22.58,52152.4
Australia,Potatoes,2015,2084.39,19.46,32.14,72142.7
China,Sweet potatoes,2001,2557.53,45.4,16.15,59197.2
France,Yams,2013,1282.75,106.71,37.72,54317.9
Australia,Yams,2022,564.53,82.59,29.05,87380.5
France,Plantains and others,1995,1690.58,95.09,16.12,65271.1
Indonesia,Potatoes,1990,1505.18,20.44,37.63,76285.5
United States,Rice,2022,1823.46,144.16,28.74,54774.4
Nigeria,Cassava,1998,1421.06,61.55,14.63,121564.1
Nigeria,Rice,1998,773.47,38.8,25.8,52422.7
Brazil,Rice,2019,1401.43,7.7,26.68,48361.8
Australia,Yams,2007,2280.77,113.4,15.25,48224.0
Brazil,Yams,2022,1390.77,47.44,12.98,94699.1
Germany,Rice,2013,2182.18,30.4,13.7,22301.5
Japan,Sweet potatoes,2020,1412.75,49.06,27.43,128792.8
Argentina,Rice,2019,1347.57,29.68,12.63,27995.4
Brazil,Soybeans,1992,2025.19,37.48,37.1,6865.6
Canada,Sorghum,2000,2998.58,175.11,21.49,8419.2
Indonesia,Rice,2006,1323.05,105.12,28.57,58883.1
Australia,Wheat,2022,1625.3,10.05,30.22,20643.6
Argentina,Sorghum,1995,2212.52,27.89,36.47,3696.9
India,Sweet potatoes,1995,1851.78,58.97,12.51,111127.5
Japan,Maize,2006,2224.29,45.22,14.14,14939.8
Nigeria,Potatoes,1998,1588.78,60.83,22.57,176046.5
Egypt,Maize,1999,2815.39,124.24,15.42,20625.3
Argentina,Sweet potatoes,2017,2004.67,104.74,13.56,122524.1
Mexico,Maize,2001,2570.22,23.95,26.25,18739.7
Nigeria,Maize,1993,1937.98,76.95,15.75,32533.7
Canada,Plantains and others,2001,2852.75,32.86,20.45,47623.5
Egypt,Maize,1993,1455.56,51.58,17.01,48246.7
Australia,Maize,1992,2147.18,31.04,36.81,14026.4
Australia,Wheat,2001,1947.3,261.02,26.11,24325.3
Mexico,Cassava,2021,2829.84,74.4,16.37,54429.1
Australia,Sorghum,1999,619.72,140.2,32.2,9781.8
Canada,Sweet potatoes,2014,269.97,18.19,32.26,87071.0
Canada,Maize,2019,1878.76,24.91,22.72,47824.2
Indonesia,Soybeans,2006,1591.81,104.91,27.83,28642.5
Egypt,Cassava,2009,1365.92,69.51,23.55,140093.9
South Africa,Potatoes,1999,2135.23,57.23,29.08,75735.4
Germany,Sweet potatoes,1995,400.04,16.25,22.62,114273.0
India,Cassava,2013,451.45,15.94,26.16,116571.8
Argentina,Cassava,2014,2256.52,48.8,12.61,58631.0
India,Soybeans,2009,433.4,7.88,36.98,12933.9
Argentina,Sweet potatoes,2007,1407.35,50.86,32.72,75312.5
Egypt,Potatoes,2002,1181.14,140.01,37.64,104591.6
Australia,Sorghum,2014,921.56,14.25,34.12,8357.8
Indonesia,Maize,2013,1333.15,31.65,32.02,48342.8
South Africa,Cassava,2006,1223.61,5.85,18.63,124563.1
Brazil,Potatoes,2002,2615.21,45.43,15.77,66548.0
Germany,Cassava,2002,2832.91,41.17,31.29,29259.5
Indonesia,Wheat,1995,2078.15,83.19,21.47,21129.1
France,Cassava,2009,227.23,10.47,32.5,47665.5
Germany,Maize,1995,982.91,68.24,35.27,30559.0
Mexico,Plantains and others,1997,1553.21,30.98,26.18,70489.1
Indonesia,Sweet potatoes,2002,1955.85,86.97,23.35,109995.6
France,Rice,2003,2499.5,85.88,33.93,15844.2
Japan,Rice,2000,1102.33,25.51,33.28,32100.8
Mexico,Sorghum,2008,517.48,64.5,25.87,17935.6
South Africa,Potatoes,2001,236.4,45.75,13.79,161666.6
India,Maize,1998,1324.84,85.83,18.08,39127.6
Brazil,Sweet potatoes,1995,239.97,24.22,25.52,105819.3
Mexico,Wheat,2003,2390.31,48.42,35.31,5506.5
China,Soybeans,1999,1871.69,108.37,20.01,17326.1
Mexico,Soybeans,2010,1732.8,16.16,26.8,17102.1
Germany,Plantains and others,2008,1524.69,127.16,17.34,95182.5
Indonesia,Yams,2021,1711.0,86.3,24.8,112819.6
China,Yams,2013,2604.6,117.85,13.66,39783.8
United States,Soybeans,2020,1209.27,65.95,23.35,32234.1
Indonesia,Cassava,2021,992.9,38.43,29.62,116234.9
Japan,Maize,2004,2879.65,81.36,16.48,15636.1
Argentina,Sorghum,2012,2392.42,18.68,20.87,8492.8
United States,Plantains and others,1996,2147.6,15.67,21.21,51055.3
France,Potatoes,2000,1733.81,42.11,37.73,68272.5
France,Plantains and others,2020,1121.55,7.68,28.98,74074.7
United States,Cassava,1997,2404.98,34.65,31.5,25836.8
France,Cassava,2005,1214.19,17.32,30.17,82992.5
Brazil,Yams,2007,1944.58,79.44,31.47,34209.2
South Africa,Rice,1999,215.63,106.46,27.47,31055.0
Canada,Sweet potatoes,1998,437.53,21.05,26.77,113945.0
Argentina,Rice,2019,1307.87,12.75,33.69,42391.3
Argentina,Sweet potatoes,2004,1354.6,97.66,15.91,154218.1
Nigeria,Maize,2019,2888.04,65.24,16.91,24696.5
India,Maize,2019,2167.39,97.27,14.15,21750.9
Egypt,Wheat,2015,2595.56,20.38,27.03,17633.7
Argentina,Maize,2020,269.88,46.34,13.88,37682.6
Japan,Wheat,1994,2646.82,110.55,22.0,12770.8
Mexico,Wheat,1993,2379.78,6.81,14.43,11896.4
Mexico,Yams,1995,1909.33,88.9,37.99,32470.6
United States,Maize,2007,1573.04,81.16,26.9,49343.8
Mexico,Soybeans,2018,1995.23,124.76,22.52,21560.2
Germany,Potatoes,1999,1409.0,235.83,15.34,151304.8
France,Potatoes,2016,820.23,14.65,16.33,198900.1
Brazil,Soybeans,2018,1885.71,32.76,33.87,13947.3
Germany,Maize,2006,1362.26,99.52,23.58,54199.4
China,Rice,2006,2417.36,101.7,16.19,22756.0
Germany,Plantains and others,1997,1059.64,33.75,14.64,90851.0
China,Wheat,2016,1558.9,12.94,29.9,19810.7
Nigeria,Maize,2013,2910.29,9.09,18.89,22172.4
China,Yams,2013,269.41,45.61,24.14,91799.4
United States,Soybeans,1997,614.81,26.13,33.58,20571.4
France,Potatoes,2001,1489.08,5.94,14.09,150249.3
Japan,Sorghum,2008,954.34,134.08,12.81,18695.5
India,Potatoes,1996,2251.37,47.52,27.37,70597.8
China,Soybeans,2005,630.8,5.03,28.71,24713.6
Canada,Rice,2023,659.88,12.81,16.37,44949.9
Argentina,Plantains and others,2001,1003.76,51.15,18.39,95251.0
France,Rice,2021,2035.4,47.57,25.5,43470.2
Mexico,Sorghum,2004,766.01,157.7,35.47,7535.2
Indonesia,Sorghum,2023,2897.4,179.68,35.79,3772.2
Japan,Cassava,2014,1470.02,265.38,25.92,102665.2
Indonesia,Sorghum,1990,2058.26,11.58,31.64,6613.6
France,Sorghum,2021,1832.72,5.5,18.86,15579.0
Egypt,Cassava,2018,2743.57,171.95,20.44,71609.5
France,Potatoes,2008,580.77,95.6,34.48,96874.1
Germany,Sweet potatoes,1997,1336.69,36.39,31.79,67899.3
Nigeria,Sweet potatoes,2021,517.96,19.23,20.16,194102.2
Canada,Rice,2007,1727.1,194.03,18.12,47189.1
India,Plantains and others,2010,2879.44,15.56,35.05,16844.4
South Africa,Sweet potatoes,2019,2696.94,17.3,32.25,34112.1
Indonesia,Plantains and others,2022,2233.42,20.72,33.32,24291.1
India,Maize,2001,469.63,126.29,28.33,51595.4
Australia,Soybeans,2000,1929.11,196.23,17.57,18972.9
Australia,Wheat,2004,2187.0,34.6,18.86,17769.0
Brazil,Maize,2007,1452.66,20.59,22.58,39352.1
China,Rice,2000,552.45,5.04,24.78,33012.9
Brazil,Soybeans,2019,2356.53,15.55,19.31,10461.1
Mexico,Maize,2010,572.43,63.69,28.84,47320.3
Germany,Wheat,1992,1575.23,53.96,36.72,13064.8
Argentina,Rice,2007,2554.93,9.93,35.07,14812.1
Brazil,Cassava,1990,2010.43,112.43,16.78,71457.5
India,Sorghum,2007,525.55,104.49,17.77,22925.3
South Africa,Potatoes,2020,799.05,22.72,32.98,85273.3
France,Plantains and others,2005,2329.82,40.22,21.88,38923.4
Canada,Sweet potatoes,1997,1648.39,43.12,34.16,62044.8
Indonesia,Plantains and others,2000,1466.91,81.42,28.74,63308.8
South Africa,Plantains and others,2017,1966.61,51.45,28.05,50218.0
China,Potatoes,2023,595.65,27.62,19.84,222168.3
Indonesia,Yams,2019,515.19,41.39,34.95,58949.7
Mexico,Potatoes,1993,2430.02,20.47,28.73,40134.5
India,Plantains and others,1994,1747.33,95.16,37.69,29832.0
Egypt,Wheat,2003,309.97,21.74,18.83,34370.7
France,Maize,1992,2381.57,38.51,16.91,13370.5
South Africa,Sweet potatoes,2007,1854.64,112.56,22.5,105610.2
Australia,Soybeans,2018,2039.18,63.8,23.63,20571.1
Canada,Cassava,2012,2791.16,127.94,26.34,58683.0
China,Yams,2022,2561.29,7.06,36.02,16884.7
Canada,Sorghum,2020,277.5,174.11,15.23,23243.4
Indonesia,Maize,1996,1619.21,84.11,25.36,51211.4
United States,Potatoes,2020,1320.82,159.21,25.48,205777.4
France,Wheat,1991,876.41,6.75,23.05,26396.5
Canada,Soybeans,1992,683.16,5.14,33.64,20987.2
Canada,Cassava,2018,1783.4,97.39,23.46,134159.3
Egypt,Sorghum,1990,1470.54,95.07,33.6,7837.8
Egypt,Cassava,1991,800.79,30.26,33.14,53973.4
United States,Rice,2008,1414.71,9.38,13.14,36515.4
Brazil,Plantains and others,1998,711.35,15.95,15.54,78743.3
Argentina,Plantains and others,2011,2186.66,10.51,37.4,19625.1
South Africa,Potatoes,2011,668.61,17.11,19.89,211290.4
Nigeria,Plantains and others,1991,2184.36,23.16,24.55,44282.0
Australia,Soybeans,1992,1503.99,9.84,14.43,15479.5
Mexico,Plantains and others,1991,905.03,67.36,33.61,33278.2
Egypt,Plantains and others,1998,1663.96,124.52,12.53,85562.2
Australia,Soybeans,2020,1684.78,22.72,18.47,22806.0
Egypt,Rice,2011,2580.31,133.75,25.86,29227.9
South Africa,Sweet potatoes,2009,2542.7,47.31,28.37,51892.3
United States,Maize,2023,1475.85,71.89,21.19,55805.7
Mexico,Maize,2013,1966.5,17.53,29.91,26515.9
Egypt,Sweet potatoes,2006,2607.9,33.94,12.06,67618.0
Nigeria,Plantains and others,2007,1955.34,26.18,33.08,27618.5
Indonesia,Maize,2008,2504.17,42.95,24.01,27260.3
Nigeria,Plantains and others,2002,737.81,8.45,27.86,85349.5
India,Plantains and others,1995,301.38,51.22,27.3,65998.8
Indonesia,Sorghum,2006,1346.46,37.58,20.46,21904.2
Germany,Maize,2002,1327.48,30.92,23.47,54160.7
Brazil,Maize,1991,2716.52,22.85,24.57,18911.7
Brazil,Maize,2011,825.18,148.08,24.82,52466.7
Indonesia,Sweet potatoes,2018,2582.43,48.81,35.29,32490.6
Canada,Cassava,2010,2552.69,197.29,13.13,59425.6
South Africa,Sweet potatoes,1992,1529.4,129.4,37.57,54077.1
United States,Plantains and others,2012,2933.25,34.83,26.37,39473.6
Indonesia,Soybeans,2015,1121.62,10.63,20.14,25558.0
Japan,Wheat,2016,2680.63,104.12,26.75,13016.9
Germany,Sorghum,2016,1082.41,82.08,21.37,28993.3
Australia,Sweet potatoes,2014,1073.12,12.5,16.74,169671.8
Japan,Wheat,2007,2656.79,9.09,22.1,13790.6
Nigeria,Plantains and others,2013,2582.5,70.55,17.77,49221.3
Canada,Yams,1995,1308.84,56.88,28.71,84206.0
China,Sweet potatoes,2014,218.37,91.46,18.1,165167.4
Brazil,Sorghum,1995,1483.81,117.78,28.55,10523.9
China,Wheat,2008,2226.97,81.47,35.81,5644.6
Indonesia,Yams,2016,643.22,15.45,33.28,57676.3
South Africa,Wheat,2022,383.16,34.5,13.76,29264.2
Argentina,Yams,2006,771.98,46.97,12.35,83186.2
Canada,Yams,2008,2355.29,71.24,19.48,52978.1
United States,Maize,2015,1802.3,13.79,27.82,49667.1
China,Sweet potatoes,1994,1288.88,84.64,12.5,114263.3
South Africa,Plantains and others,2021,1126.62,26.84,24.97,87653.7
France,Potatoes,2010,705.33,94.34,23.95,168662.7
Germany,Maize,2003,2917.89,50.81,27.96,21598.3
Japan,Soybeans,1996,2980.0,161.78,26.1,10808.9
Argentina,Plantains and others,2014,903.34,23.96,14.88,92081.4
Australia,Cassava,1997,2614.76,88.13,31.62,28661.0
South Africa,Yams,2017,1417.45,16.06,37.4,37055.9
Brazil,Sorghum,2011,1978.33,59.21,15.21,12572.4
Canada,Rice,1995,2021.03,9.62,20.19,36075.8
France,Sorghum,1999,263.51,84.24,35.03,7298.0
Germany,Sorghum,1999,1492.33,82.64,28.59,14095.6
Germany,Sweet potatoes,1993,2007.63,50.75,16.76,97889.2
Japan,Maize,2010,1412.71,8.06,35.37,26734.9
India,Potatoes,1998,1258.68,66.67,27.56,141167.4
Brazil,Yams,1997,1292.06,234.43,33.11,37799.0
Japan,Soybeans,2019,2244.23,34.75,19.59,13171.5
Canada,Yams,2010,268.95,84.51,27.88,104210.9
Brazil,Maize,2009,654.13,33.7,36.04,29111.7
Argentina,Plantains and others,2007,917.43,26.43,24.19,90718.9
South Africa,Sweet potatoes,2000,1686.64,14.49,18.45,120072.2
Mexico,Rice,2006,1147.44,5.92,34.52,27104.0
Indonesia,Cassava,1992,1671.81,10.92,37.23,41014.7
Indonesia,Yams,2000,1294.95,76.11,27.21,99327.2
Canada,Maize,2002,2364.57,18.09,37.04,12533.6
Japan,Wheat,2015,868.19,82.21,23.3,37803.1
Argentina,Sweet potatoes,2012,1939.77,5.39,16.08,108201.7
Mexico,Soybeans,2018,1946.92,47.28,31.36,17456.6
Nigeria,Soybeans,2008,2433.38,148.22,27.73,13167.2
Nigeria,Cassava,1992,2814.09,20.88,37.22,21466.6
United States,Cassava,2012,268.61,25.73,23.93,119406.3
India,Cassava,1991,2960.51,39.21,14.87,56838.6
Australia,Potatoes,2010,203.75,46.16,19.6,201791.9
Brazil,Sweet potatoes,1995,284.05,63.84,26.9,99211.1
Canada,Cassava,2019,2038.7,103.07,21.2,100652.7
Argentina,Wheat,2019,1073.71,55.67,33.55,16852.5
Mexico,Wheat,1997,1115.22,6.19,35.75,14551.5
Brazil,Wheat,2002,1459.27,38.98,17.32,27905.6
Nigeria,Plantains and others,1998,1536.78,102.62,24.18,84962.6
China,Sorghum,1993,586.4,100.33,20.14,19473.3
Brazil,Soybeans,2007,1922.88,9.12,16.15,12866.5
China,Rice,1997,591.11,44.94,18.26,34440.1
Egypt,Cassava,1991,704.55,12.9,18.66,135253.3
Germany,Potatoes,1994,503.31,56.97,14.92,195239.0
China,Sorghum,1998,1965.6,12.6,16.38,11249.7
Argentina,Wheat,1999,2036.05,67.6,21.4,22442.3
India,Cassava,2008,676.65,93.69,33.87,53985.5
Egypt,Rice,1995,1532.47,37.67,12.95,28876.2
Indonesia,Cassava,2003,980.97,72.68,26.03,131224.4
Egypt,Sorghum,2015,2020.33,106.06,31.25,9886.1
China,Wheat,2003,2515.87,95.48,22.7,13891.9
Nigeria,Cassava,1995,1872.96,21.57,29.76,57176.3
South Africa,Yams,2003,1350.31,35.05,24.0,95895.3
Mexico,Wheat,2009,2670.58,64.4,37.1,5767.8
South Africa,Sorghum,2002,321.6,56.21,12.47,17875.0
India,Sorghum,2012,1131.57,119.16,16.09,21742.7
Nigeria,Sorghum,2010,1521.85,21.98,18.59,21880.7
China,Plantains and others,2023,2543.7,14.15,29.02,24928.9
Japan,Plantains and others,2016,1703.78,86.39,34.82,34728.7
China,Yams,2009,677.54,82.45,19.87,108643.0
Japan,Plantains and others,2023,2578.44,45.23,31.16,22439.8
Mexico,Wheat,2011,2935.4,85.44,21.74,16514.2
Egypt,Soybeans,2001,593.85,183.24,31.17,24599.9
Australia,Plantains and others,2023,1258.8,63.22,16.78,103743.6
Mexico,Sweet potatoes,2018,1841.34,20.45,35.73,52453.7
Australia,Wheat,2010,2123.79,39.25,35.71,10044.5
South Africa,Soybeans,1997,465.55,5.76,33.8,13577.6
Germany,Cassava,1996,1915.57,39.43,21.37,95479.4
Germany,Wheat,2002,664.32,6.96,37.65,14337.1
South Africa,Potatoes,2017,1607.86,33.55,32.7,84059.1
China,Sweet potatoes,2007,1122.33,86.66,35.17,64886.9
Nigeria,Sweet potatoes,2003,2259.29,185.56,32.18,47914.6
Japan,Sweet potatoes,2006,1065.66,93.44,26.81,132841.9
Egypt,Sweet potatoes,1993,2418.98,38.95,33.71,28087.0
Australia,Sorghum,1991,1838.33,30.87,34.51,5990.8
Egypt,Rice,2007,1206.3,41.22,15.44,47974.0
Egypt,Soybeans,2009,800.15,92.0,33.55,25472.5
Australia,Plantains and others,2022,1583.93,22.21,15.96,112268.9
Germany,Wheat,1992,596.16,14.25,30.17,19565.0
Nigeria,Yams,2023,1184.51,79.53,16.14,136630.2
United States,Plantains and others,1992,2372.82,10.98,22.97,37777.5
Australia,Sorghum,1992,2649.42,16.83,33.45,3504.4
Nigeria,Sweet potatoes,1990,2972.62,30.99,35.88,28644.7
Canada,Wheat,2021,1166.76,21.49,12.52,37111.5
Argentina,Wheat,2014,1039.17,26.0,19.83,35456.1
Nigeria,Wheat,2000,2020.74,16.42,29.98,14589.1
Mexico,Rice,1996,2945.38,88.16,19.59,16657.7
Germany,Soybeans,1996,2193.83,8.4,15.57,9928.0
Egypt,Sweet potatoes,2001,743.55,35.66,37.65,83794.1
Canada,Potatoes,2005,1239.03,123.27,35.71,83863.4
India,Potatoes,2022,2494.3,20.56,32.57,40858.0
Indonesia,Soybeans,2019,1200.58,32.84,24.29,40414.0
Brazil,Wheat,2020,2987.02,112.31,32.28,7474.5
India,Yams,1996,453.98,41.72,29.93,63400.7
Brazil,Yams,2008,2400.76,16.17,26.57,31469.8
Nigeria,Potatoes,2021,2701.25,18.62,26.0,89424.1
Japan,Rice,1995,2874.1,166.77,14.12,12080.4
Argentina,Wheat,2022,2567.98,50.51,19.74,14549.0
Japan,Rice,1991,267.24,51.31,23.2,34729.4
Australia,Sorghum,2008,1378.09,9.27,17.92,19898.8
Canada,Yams,1998,1469.67,27.85,16.95,115287.8
Argentina,Soybeans,2011,371.9,10.54,18.32,25931.4
Japan,Cassava,1993,1283.82,11.52,29.96,66684.0
Argentina,Sorghum,2012,1945.11,33.01,22.37,14918.3
Brazil,Potatoes,2000,1486.16,25.22,14.42,161841.2
Canada,Wheat,2009,1583.44,51.86,31.32,20599.8
Australia,Maize,2010,2415.79,48.2,30.25,18196.5
Nigeria,Sweet potatoes,2010,2886.36,84.1,18.33,71281.9
Brazil,Potatoes,2015,2731.46,92.97,24.43,80436.2
Indonesia,Maize,1999,808.85,42.5,20.29,52217.7
India,Sorghum,2014,440.08,48.65,30.38,11119.8
Nigeria,Sweet potatoes,1997,934.54,13.69,13.22,137352.7
Argentina,Yams,2003,2700.28,58.61,34.37,17790.0
Japan,Maize,1992,2738.8,81.97,14.35,13133.9
Indonesia,Potatoes,2012,491.09,7.68,37.15,92589.9
China,Rice,2011,1616.64,52.0,22.74,37382.2
China,Sorghum,2001,910.35,109.68,16.77,21470.1
Argentina,Potatoes,2016,2613.52,154.09,29.64,70707.4
Mexico,Rice,2002,435.31,150.51,23.02,42072.5
Canada,Plantains and others,1995,1919.01,7.41,27.45,55911.4
Argentina,Rice,1999,416.08,68.83,33.53,32215.4
India,Potatoes,2021,1482.17,16.07,24.33,191131.9
Canada,Potatoes,2006,2672.16,11.16,17.83,80849.4
South Africa,Sorghum,2006,1643.78,26.22,18.75,17812.0
South Africa,Sorghum,1997,2642.86,20.96,18.81,7369.8
Egypt,Wheat,2021,236.64,136.71,25.63,38535.0
Canada,Sweet potatoes,2006,936.94,24.17,24.7,163276.8
Germany,Plantains and others,2013,2220.41,20.32,31.27,24745.1
Indonesia,Plantains and others,2000,1671.72,140.11,15.67,94293.5
Indonesia,Sorghum,1998,752.7,21.5,24.29,20445.8
Indonesia,Wheat,2001,2549.59,44.23,30.31,11459.4
India,Soybeans,2004,1392.42,56.74,30.05,22207.9
India,Sweet potatoes,2001,2109.25,60.14,25.62,79471.2
Mexico,Wheat,2005,2990.08,7.51,23.52,14898.5
Indonesia,Plantains and others,2001,2154.24,51.22,26.17,47940.3
Canada,Plantains and others,2012,2649.19,71.03,15.65,44171.0
Australia,Rice,1997,705.04,56.58,17.0,40646.6
France,Cassava,2021,2183.0,57.0,19.89,74103.5
Mexico,Yams,2023,2550.06,39.81,20.43,52716.8
Germany,Potatoes,2012,1329.14,16.44,27.9,158283.5
South Africa,Potatoes,2023,1843.59,55.44,34.48,74492.9
Japan,Yams,2010,873.54,14.93,28.4,73498.7
France,Cassava,2008,1875.15,29.12,22.55,88316.3
China,Cassava,2010,1290.71,10.83,17.21,113048.9
Indonesia,Potatoes,2021,1935.71,61.27,30.51,103165.2
Brazil,Sweet potatoes,2012,1342.05,8.27,16.94,144425.6
Nigeria,Yams,2022,1043.21,34.54,32.88,59044.7
Canada,Potatoes,1997,2227.09,20.18,12.36,86201.6
Indonesia,Wheat,2020,2868.73,42.0,30.59,12519.0
Indonesia,Yams,2006,376.88,191.45,22.72,123545.5
Egypt,Rice,2017,1799.15,19.08,33.39,38012.0
China,Sorghum,1996,1983.39,14.81,24.35,11418.3
Brazil,Soybeans,2002,2897.31,33.63,20.65,9946.2
United States,Sweet potatoes,2020,1931.27,151.21,24.98,139501.9
China,Potatoes,2013,381.22,202.61,21.81,193468.5
India,Plantains and others,1996,2641.98,25.04,20.02,34849.7
India,Rice,2006,1783.99,76.88,30.54,44373.6
Nigeria,Rice,1990,483.72,117.86,26.18,45680.4
Nigeria,Potatoes,2011,1160.07,83.88,25.37,214942.2
China,Sorghum,2006,962.12,37.51,33.36,7653.7
Nigeria,Yams,1998,2603.4,110.72,34.59,18284.2
Japan,Rice,2019,1359.32,22.47,18.71,41461.6
Australia,Sorghum,2023,564.85,19.85,37.15,10194.4
Nigeria,Cassava,2002,2596.71,5.7,12.16,46241.3
Argentina,Cassava,2000,1291.47,59.45,14.62,104402.5
Nigeria,Sweet potatoes,2020,842.17,57.09,32.91,83267.0
Mexico,Sweet potatoes,2011,609.02,36.57,24.08,161433.3
India,Plantains and others,1992,2618.59,79.86,23.17,34359.7
Australia,Rice,2005,1667.98,85.78,19.98,49034.7
China,Wheat,2020,2907.16,38.29,24.33,13790.7
Brazil,Soybeans,2011,2099.77,15.57,12.88,11265.6
Nigeria,Wheat,1992,386.65,119.83,28.41,26292.5
Brazil,Soybeans,1990,599.89,28.79,12.38,13987.4
Japan,Wheat,2004,1659.72,82.06,23.31,30031.4
Argentina,Potatoes,2003,705.56,92.02,32.69,97569.4
Brazil,Soybeans,2017,1611.23,21.06,19.93,22180.9
Egypt,Rice,2018,2919.37,24.43,14.78,18279.3
Canada,Sorghum,1994,1661.18,40.45,33.68,7621.6
Indonesia,Sorghum,2009,2814.88,12.53,14.84,9346.8
Canada,Rice,2022,2080.33,21.82,35.63,31727.9
Japan,Plantains and others,2009,1662.98,46.76,18.72,71389.4
Brazil,Plantains and others,2017,276.03,31.17,20.92,78568.8
Japan,Sorghum,2008,779.73,59.23,32.35,10352.6
Mexico,Potatoes,2020,828.64,32.76,24.66,203628.8
Mexico,Rice,2015,1534.69,32.85,23.84,54201.8
France,Potatoes,2017,1973.05,72.27,17.79,151702.2
India,Cassava,2001,388.54,26.6,20.6,100560.8
Australia,Rice,2018,2222.22,161.25,12.29,22838.4
Japan,Rice,1998,654.36,145.63,33.12,34725.9
India,Maize,1993,2736.2,24.42,24.48,17588.1
South Africa,Potatoes,1995,1262.18,52.35,36.08,75350.8
United States,Yams,2023,1909.42,10.16,19.64,86066.6
United States,Wheat,2008,1787.81,97.86,15.45,31743.9
Japan,Sweet potatoes,2009,731.08,129.41,12.25,131717.1
Brazil,Soybeans,2008,1119.94,11.27,37.57,10835.3
Germany,Plantains and others,2004,1033.62,44.54,21.66,92380.2
Egypt,Yams,2009,640.56,29.39,33.06,48919.5
South Africa,Soybeans,2018,664.28,124.87,22.79,27882.9
Indonesia,Maize,1997,1908.16,22.49,15.67,29092.5
Mexico,Potatoes,2001,220.52,23.58,16.15,179479.1
United States,Potatoes,1993,1662.9,7.13,14.36,141499.6
South Africa,Sweet potatoes,2023,446.37,32.11,37.23,62162.3
Argentina,Plantains and others,2000,818.77,34.07,21.25,101207.4
South Africa,Plantains and others,2009,809.39,14.49,32.97,36863.6
Mexico,Sweet potatoes,2001,2930.34,25.95,32.04,30908.5
Canada,Yams,1996,2379.61,41.8,33.35,19596.3
United States,Cassava,2020,2980.31,13.39,24.48,63591.0
India,Plantains and others,2011,1969.13,6.77,36.46,24699.6
Argentina,Wheat,2005,2197.78,36.67,36.99,7015.1
Japan,Potatoes,2011,2123.73,19.63,37.13,44316.1
Argentina,Sorghum,2018,2199.12,47.92,27.87,8481.4
Argentina,Rice,2017,234.83,13.69,12.8,25210.1
China,Potatoes,2017,2918.39,293.9,28.56,58204.3
Brazil,Wheat,1999,1709.8,15.05,26.97,20247.6
China,Cassava,2010,2084.47,157.41,28.84,55896.8
Indonesia,Sorghum,2018,1041.66,5.14,25.44,20822.0
Canada,Soybeans,2015,1487.65,18.23,36.2,17515.2
Mexico,Rice,2012,603.67,356.05,35.27,27004.8
Canada,Potatoes,1995,1056.69,8.07,16.29,199939.1
Nigeria,Sorghum,2007,2707.79,44.44,28.31,7294.5
Indonesia,Yams,2022,1183.88,9.43,37.65,62504.9
Argentina,Maize,2016,2111.43,81.12,33.02,22870.9
Australia,Sorghum,2014,2733.38,70.87,31.4,5103.8
Mexico,Yams,2016,604.0,44.07,28.07,90493.3
Mexico,Plantains and others,1992,1547.25,68.56,29.38,61672.7
China,Cassava,1998,2197.87,26.9,34.73,23080.6
South Africa,Potatoes,2016,1816.48,114.86,24.86,145610.3
Nigeria,Cassava,1996,2017.91,47.84,22.55,88578.3
Australia,Rice,1992,616.3,15.1,30.46,37565.1
Nigeria,Yams,2017,2295.47,12.37,13.45,48127.5
United States,Wheat,2006,1652.48,93.62,29.26,23404.6
Germany,Sweet potatoes,1997,2908.72,86.78,23.03,56588.4
Germany,Sweet potatoes,2000,604.55,43.19,16.9,154340.7
Australia,Sweet potatoes,1993,475.55,77.34,26.99,132884.1
South Africa,Sweet potatoes,1996,2371.81,16.42,13.95,51411.5
France,Potatoes,1996,1859.38,97.22,32.97,60857.0
Japan,Yams,2003,2954.07,53.81,16.53,39401.9
Canada,Potatoes,2017,356.52,10.74,31.81,104450.3
Indonesia,Sweet potatoes,2019,2651.46,47.24,16.99,74466.1
Germany,Soybeans,2010,932.92,63.43,32.89,23296.7
South Africa,Soybeans,2005,2271.55,25.9,21.98,12593.2
India,Cassava,2020,2756.78,53.51,37.75,25059.9
France,Yams,2019,945.07,6.8,31.05,59734.1
China,Sweet potatoes,1999,2982.05,75.14,24.62,53162.6
Brazil,Potatoes,2010,1225.71,43.03,20.55,165775.6
Japan,Sweet potatoes,2011,2164.18,214.73,20.89,92041.1
